sport,title,event_id,market_id,market_name,liquidity,volume,end_date,token_id,outcome
epl,Manchester United FC vs. Aston Villa FC - More Markets,240799,1481171,Manchester United FC vs. Aston Villa FC: Both Teams to Score,4800.8112,42.291701,2026-03-15T14:00:00Z,109684488405249798138386776225416284151122692825235837790215304739278482985728,YES
epl,Manchester United FC vs. Aston Villa FC - More Markets,240799,1481171,Manchester United FC vs. Aston Villa FC: Both Teams to Score,4800.8112,42.291701,2026-03-15T14:00:00Z,28288064184347826096458507904161055405092284543865903576399959343690947643309,NO
epl,Brentford FC vs. Wolverhampton Wanderers FC,242851,1488887,Will Brentford FC win on 2026-03-16?,45287.9588,7561.332337999996,2026-03-16T20:00:00Z,47494701246623683904467099439211712078496707997982781452643608690648347494691,YES
epl,Brentford FC vs. Wolverhampton Wanderers FC,242851,1488887,Will Brentford FC win on 2026-03-16?,45287.9588,7561.332337999996,2026-03-16T20:00:00Z,65518682212022781901729149980017915467817457835152287376501549020779362175695,NO
epl,Brentford FC vs. Wolverhampton Wanderers FC,242851,1488892,Will Brentford FC vs. Wolverhampton Wanderers FC end in a draw?,36280.3277,908.1377160000003,2026-03-16T20:00:00Z,36847072724559173717932852521154454046199061185812140044701797780609311414898,YES
epl,Brentford FC vs. Wolverhampton Wanderers FC,242851,1488892,Will Brentford FC vs. Wolverhampton Wanderers FC end in a draw?,36280.3277,908.1377160000003,2026-03-16T20:00:00Z,9348804764823995428296154963989219895718178014554567894951462406144818261208,NO
epl,Brentford FC vs. Wolverhampton Wanderers FC,242851,1488895,Will Wolverhampton Wanderers FC win on 2026-03-16?,39339.4486,2135.633967,2026-03-16T20:00:00Z,98107912998624786361577465233693172875466676473751002010266720534494299124333,YES
epl,Brentford FC vs. Wolverhampton Wanderers FC,242851,1488895,Will Wolverhampton Wanderers FC win on 2026-03-16?,39339.4486,2135.633967,2026-03-16T20:00:00Z,44793860948810476642030223136795874258351936375138856558421735405165202363047,NO
epl,Brentford FC vs. Wolverhampton Wanderers FC - More Markets,242984,1489332,Brentford FC vs. Wolverhampton Wanderers FC: Both Teams to Score,5660.9524,,2026-03-16T20:00:00Z,8152142831330162200200076668526088571891385703327787460207202531618903133577,YES
epl,Brentford FC vs. Wolverhampton Wanderers FC - More Markets,242984,1489332,Brentford FC vs. Wolverhampton Wanderers FC: Both Teams to Score,5660.9524,,2026-03-16T20:00:00Z,98192221442594225031247814505383564694015101024099243982036067120786890195292,NO
epl,AFC Bournemouth vs. Manchester United FC,251246,1520597,Will AFC Bournemouth win on 2026-03-20?,6785.1998,108.58470200000002,2026-03-20T20:00:00Z,58206139529666709446170935349036911353681231083630030802859175769000049741130,YES
epl,AFC Bournemouth vs. Manchester United FC,251246,1520597,Will AFC Bournemouth win on 2026-03-20?,6785.1998,108.58470200000002,2026-03-20T20:00:00Z,47608094560025294630137639414293236946437904989875890424548332790785085274909,NO
epl,AFC Bournemouth vs. Manchester United FC,251246,1520604,Will AFC Bournemouth vs. Manchester United FC end in a draw?,7038.7773,,2026-03-20T20:00:00Z,55188213476520233230864899737260496833336309617008847802520304676111086492676,YES
epl,AFC Bournemouth vs. Manchester United FC,251246,1520604,Will AFC Bournemouth vs. Manchester United FC end in a draw?,7038.7773,,2026-03-20T20:00:00Z,27632745735048026739435779140247331216073598388453182713087416915901393181083,NO
epl,AFC Bournemouth vs. Manchester United FC,251246,1520611,Will Manchester United FC win on 2026-03-20?,16964.2122,1906.8881249999997,2026-03-20T20:00:00Z,46176690668105177227089990838594026351799238651232950832331852562296667074978,YES
